id,station_id,stop_id,station_name,stop_desc,run_number,route_id,destination_id,destination_name,route_direction_code,prediction_generated,expected_arrival,is_approaching,is_scheduled,is_fit,is_delayed
1,30238,30238,47th,Service toward 95th,939,Red,30238,95th/Dan Ryan,5,2012-10-03 00:13:57-05,2012-10-03 00:16:57-05,0,0,0,0
2,30238,30238,47th,Service toward 95th,927,Red,30238,95th/Dan Ryan,5,2012-10-03 00:14:05-05,2012-10-03 00:26:05-05,0,0,0,0
3,30237,30237,47th,Service toward Howard,936,Red,30237,Howard,1,2012-10-03 00:14:38-05,2012-10-03 00:18:38-05,0,0,0,0
4,30238,30238,47th,Service toward 95th,835,Red,30238,95th/Dan Ryan,5,2012-10-03 00:26:04-05,2012-10-03 00:36:04-05,0,0,0,0
5,30238,30238,47th,Service toward 95th,834,Red,30238,95th/Dan Ryan,5,2012-10-03 00:25:25-05,2012-10-03 00:41:25-05,0,0,0,0
6,30237,30237,47th,Service toward Howard,937,Red,30237,Howard,1,2012-10-03 00:26:15-05,2012-10-03 00:30:15-05,0,0,0,0
7,30178,30178,63rd,Service toward 95th,927,Red,30178,95th/Dan Ryan,5,2012-10-03 00:26:10-05,2012-10-03 00:30:10-05,0,0,0,0
8,30178,30178,63rd,Service toward 95th,835,Red,30178,95th/Dan Ryan,5,2012-10-03 00:26:04-05,2012-10-03 00:41:04-05,0,0,0,0
9,30177,30177,63rd,Service toward Howard,830,Red,30177,Howard,1,2012-10-03 00:26:22-05,2012-10-03 00:38:22-05,0,1,0,0
10,30192,30192,69th,Service toward 95th,939,Red,30192,95th/Dan Ryan,5,2012-10-03 00:26:17-05,2012-10-03 00:27:17-05,1,0,0,0
11,30192,30192,69th,Service toward 95th,927,Red,30192,95th/Dan Ryan,5,2012-10-03 00:26:10-05,2012-10-03 00:35:10-05,0,0,0,0
12,30192,30192,69th,Service toward 95th,835,Red,30192,95th/Dan Ryan,5,2012-10-03 00:26:04-05,2012-10-03 00:45:04-05,0,0,0,0
13,30191,30191,69th,Service toward Howard,830,Red,30191,Howard,1,2012-10-03 00:26:22-05,2012-10-03 00:36:22-05,0,1,0,0
14,30047,30047,79th,Service toward 95th,939,Red,30047,95th/Dan Ryan,5,2012-10-03 00:26:17-05,2012-10-03 00:29:17-05,0,0,0,0
15,30047,30047,79th,Service toward 95th,927,Red,30047,95th/Dan Ryan,5,2012-10-03 00:26:10-05,2012-10-03 00:37:10-05,0,0,0,0
16,30046,30046,79th,Service toward Howard,830,Red,30046,Howard,1,2012-10-03 00:26:21-05,2012-10-03 00:33:21-05,0,1,0,0
17,30276,30276,87th,Service toward 95th,939,Red,30276,95th/Dan Ryan,5,2012-10-03 00:26:17-05,2012-10-03 00:33:17-05,0,0,0,0
18,30276,30276,87th,Service toward 95th,927,Red,30276,95th/Dan Ryan,5,2012-10-03 00:26:10-05,2012-10-03 00:41:10-05,0,0,0,0
19,30275,30275,87th,Service toward Howard,830,Red,30275,Howard,1,2012-10-03 00:26:22-05,2012-10-03 00:31:22-05,0,1,0,0
20,30088,30088,95th/Dan Ryan,Service toward Howard,830,Red,30088,Howard,1,2012-10-03 00:26:21-05,2012-10-03 00:29:21-05,0,1,0,0
21,30274,30274,Addison,Service toward 95th,837,Red,30274,95th/Dan Ryan,5,2012-10-03 00:26:05-05,2012-10-03 00:32:05-05,0,0,0,0
22,30274,30274,Addison,Service toward 95th,836,Red,30274,95th/Dan Ryan,5,2012-10-03 00:25:34-05,2012-10-03 00:43:34-05,0,0,0,0
23,30273,30273,Addison,Service toward Howard,932,Red,30273,Howard,1,2012-10-03 00:25:42-05,2012-10-03 00:28:42-05,0,0,0,0
24,30273,30273,Addison,Service toward Howard,934,Red,30273,Howard,1,2012-10-03 00:26:12-05,2012-10-03 00:35:12-05,0,0,0,0
25,30273,30273,Addison,Service toward Howard,935,Red,30273,Howard,1,2012-10-03 00:26:08-05,2012-10-03 00:38:08-05,0,0,0,0
26,30256,30256,Belmont,Service toward 95th/Dan Ryan,837,Red,30256,95th/Dan Ryan,5,2012-10-03 00:26:05-05,2012-10-03 00:34:05-05,0,0,0,0
27,30255,30255,Belmont,Service toward Howard,932,Red,30255,Howard,1,2012-10-03 00:25:42-05,2012-10-03 00:27:42-05,0,0,0,0
28,30255,30255,Belmont,Service toward Howard,934,Red,30255,Howard,1,2012-10-03 00:26:12-05,2012-10-03 00:34:12-05,0,0,0,0
29,30255,30255,Belmont,Service toward Howard,935,Red,30255,Howard,1,2012-10-03 00:26:08-05,2012-10-03 00:37:08-05,0,0,0,0
30,30067,30067,Berwyn,Service toward 95th,836,Red,30067,95th/Dan Ryan,5,2012-10-03 00:25:34-05,2012-10-03 00:35:34-05,0,0,0,0
31,30066,30066,Berwyn,Service toward Howard,840,Red,30066,Howard,1,2012-10-03 00:26:19-05,2012-10-03 00:30:19-05,0,0,0,0
32,30066,30066,Berwyn,Service toward Howard,932,Red,30066,Howard,1,2012-10-03 00:25:42-05,2012-10-03 00:35:42-05,0,0,0,0
33,30066,30066,Berwyn,Service toward Howard,934,Red,30066,Howard,1,2012-10-03 00:26:12-05,2012-10-03 00:42:12-05,0,0,0,0
34,30066,30066,Berwyn,Service toward Howard,935,Red,30066,Howard,1,2012-10-03 00:26:08-05,2012-10-03 00:45:08-05,0,0,0,0
35,30268,30268,Bryn Mawr,Service toward 95th,836,Red,30268,95th/Dan Ryan,5,2012-10-03 00:25:34-05,2012-10-03 00:33:34-05,0,0,0,0
36,30267,30267,Bryn Mawr,Service toward Howard,840,Red,30267,Howard,1,2012-10-03 00:26:19-05,2012-10-03 00:31:19-05,0,0,0,0
37,30267,30267,Bryn Mawr,Service toward Howard,932,Red,30267,Howard,1,2012-10-03 00:25:42-05,2012-10-03 00:36:42-05,0,0,0,0
38,30267,30267,Bryn Mawr,Service toward Howard,934,Red,30267,Howard,1,2012-10-03 00:26:12-05,2012-10-03 00:43:12-05,0,0,0,0
39,30194,30194,Cermak-Chinatown,Service toward 95th,835,Red,30194,95th/Dan Ryan,5,2012-10-03 00:26:04-05,2012-10-03 00:28:04-05,0,0,0,0
40,30194,30194,Cermak-Chinatown,Service toward 95th,834,Red,30194,95th/Dan Ryan,5,2012-10-03 00:25:25-05,2012-10-03 00:33:25-05,0,0,0,0
41,30194,30194,Cermak-Chinatown,Service toward 95th,928,Red,30194,95th/Dan Ryan,5,2012-10-03 00:26:10-05,2012-10-03 00:44:10-05,0,0,0,0
42,30193,30193,Cermak-Chinatown,Service toward Howard,936,Red,30193,Howard,1,2012-10-03 00:25:17-05,2012-10-03 00:27:17-05,0,0,0,0
43,30193,30193,Cermak-Chinatown,Service toward Howard,937,Red,30193,Howard,1,2012-10-03 00:26:15-05,2012-10-03 00:39:15-05,0,0,0,0
44,30280,30280,Chicago,Service toward 95th,928,Red,30280,95th/Dan Ryan,5,2012-10-03 00:26:10-05,2012-10-03 00:33:10-05,0,0,0,0
45,30280,30280,Chicago,Service toward 95th,837,Red,30280,95th/Dan Ryan,5,2012-10-03 00:26:05-05,2012-10-03 00:44:05-05,0,0,0,0
46,30279,30279,Chicago,Service toward Howard,935,Red,30279,Howard,1,2012-10-03 00:26:08-05,2012-10-03 00:29:08-05,0,0,0,0
47,30279,30279,Chicago,Service toward Howard,936,Red,30279,Howard,1,2012-10-03 00:25:17-05,2012-10-03 00:41:17-05,0,0,0,0
48,30122,30122,Clark/Division,Service toward 95th,928,Red,30122,95th/Dan Ryan,5,2012-10-03 00:26:10-05,2012-10-03 00:31:10-05,0,0,0,0
49,30122,30122,Clark/Division,Service toward 95th,837,Red,30122,95th/Dan Ryan,5,2012-10-03 00:26:05-05,2012-10-03 00:42:05-05,0,0,0,0
50,30121,30121,Clark/Division,Service toward Howard,934,Red,30121,Howard,1,2012-10-03 00:26:12-05,2012-10-03 00:28:12-05,0,0,0,0
51,30121,30121,Clark/Division,Service toward Howard,935,Red,30121,Howard,1,2012-10-03 00:26:08-05,2012-10-03 00:31:08-05,0,0,0,0
52,30121,30121,Clark/Division,Service toward Howard,936,Red,30121,Howard,1,2012-10-03 00:25:17-05,2012-10-03 00:43:17-05,0,0,0,0
